Glaciaxion.SunsetRay.0	1.0	6.5	12.6	0.0
EradicationCatastrophe.NceS.0	3.5	7.5	12.7	0.0
Credits.Frums.0	4.5	10.4	13.6	15.7
Dlyrotz.Likey.0	4.0	9.1	13.7	0.0
EnginexStartmelodymix.CrossingSound.0	2.5	8.3	13.0	0.0
光.姜米條.0	2.0	7.5	12.4	0.0
Wintercube.CtymaxfeatNceS.0	3.5	8.2	13.3	0.0
Cipher20.TetrajectoryfeatCtymax.0	5.0	10.3	14.4	0.0
混乱Confusion.OnlyMyBlackScore.0	4.0	10.0	14.8	0.0
FULiAUTOSHOOTER.MYUKKE.0	3.0	9.0	14.9	0.0
HumaN.SOTUI.0	3.0	8.0	12.9	0.0
PRAW.Bluewind.0	6.0	10.6	15.1	0.0
PixelRebelz.Normal1zer.0	4.5	9.7	15.3	0.0
Cereris.SunsetRayNceS.0	5.5	10.9	14.7	0.0
NonMelodicRagezMUGEdit.Normal1zer.0	5.5	11.6	16.1	0.0
SultanRage.MonstDeath.0	4.0	7.0	12.3	0.0
ClassMemories.AntistarfeatCtymax.0	6.0	10.8	13.8	0.0
SURREALISM.Itsuki.0	5.0	9.4	13.4	0.0
BonusTime.MegaloPaleWhite.0	3.5	9.5	13.8	0.0
ENERGYSYNERGYMATRIX.Tanchiky.0	5.5	11.5	14.4	0.0
NYA.FLuoRiTe姜米條.0	2.0	8.6	13.1	0.0
JunXionBetweenLifeAndDeathVIPMix.1N6Fs.0	3.0	8.7	13.4	0.0
cryout.JuE.0	3.5	9.9	13.6	0.0
Reimei.影虎.0	6.5	11.7	15.1	0.0
尊師TheGuru.rider.0	6.0	11.6	15.4	0.0
Spasmodic.姜米條颶風元力上人.0	8.2	13.3	15.5	16.7
LeaveAllBehind.rider.0	3.0	8.9	12.7	0.0
ColorfulDays.P4koofeatつゆり花鈴.0	5.0	7.0	12.7	0.0
microwav.dandeless.0	6.0	10.5	14.7	0.0
重生.姜米條.0	4.5	8.8	14.4	0.0
NOONEYESMAN.MYUKKE.0	7.0	10.9	15.5	0.0
望影の方舟Six.SeURa.0	6.5	11.9	15.9	0.0
Igallta.SeURa.0	7.5	12.2	16.1	17.4
ClockParadox.WyvernP.0	2.0	6.0	12.5	0.0
Chronologika.Hundotte.0	3.5	9.8	13.9	0.0
NickofTime.P4koo.0	6.0	9.3	14.7	0.0
Chronomia.Lime.0	4.5	11.1	15.4	0.0
ChronosCollapseLaCampanella.SunsetRay.0	4.5	12.3	16.3	0.0
Rrharil.TeamGrimoire.0	7.0	12.7	16.1	17.6
CraveWave.LandRoot.0	2.5	8.0	13.7	0.0
TheChariotREVIIVAL.Attoclef.0	5.0	9.0	14.0	0.0
Luminescence.米虾Fomiki初云CLoudie.0	5.5	11.0	14.5	0.0
Retribution.nmyKryexe.0	6.0	11.6	16.2	0.0
